id,shrop_ratio,prob_default,return_preds,loan_amnt,funded_amnt,int_rate,fico_range_low,fico_range_high
157836545,14.337661310054598,0.0056169033,0.17947553598040794,20500,16650.0,0.2565,785,789
156369436,13.307369609722107,0.006051779,0.09399022406689983,40000,33550.0,0.14300000000000002,760,764
157022911,13.2028206224037,0.006099701,0.07509339806125387,6000,5025.0,0.11710000000000001,745,749
156951202,11.86278579769531,0.0067887306,0.12419792700446251,30000,15000.0,0.1862,735,739
157771576,11.751355510839698,0.0068531036,0.10639102922406687,26575,19850.0,0.1524,730,734
157808999,10.329219234701046,0.007796645,0.06857165363395586,20000,12950.0,0.1308,720,724
157584769,8.77057001021931,0.009182215,0.15080160495257885,30000,26600.0,0.20550000000000002,725,729
157309640,8.611204701084779,0.009352148,0.09636616100480133,40000,17875.0,0.14300000000000002,730,734
157842929,7.866255930964387,0.010237813,0.07311615869061688,12000,5700.0,0.11019999999999999,715,719
157893699,7.647813136585602,0.010530233,0.07204392437688116,25000,20375.0,0.11019999999999999,715,719
157849526,6.618581525584302,0.012167752,0.07789498347785426,7000,5150.0,0.14300000000000002,715,719
156746122,5.794587001819724,0.013898015,0.12260590567605398,37225,8325.0,0.1862,715,719
157762796,5.009988843374535,0.016074538,0.09462222263781454,30500,8900.0,0.14300000000000002,705,709
157306370,3.6358064540124886,0.02215004,0.06094490463643239,40000,25925.0,0.1033,710,714
157865095,2.9312867217166634,0.027473688,0.11329515778340082,24000,18550.0,0.1612,700,704
157419727,2.8033243657604694,0.02872777,0.06653436918385336,20000,15400.0,0.1033,700,704
157881625,2.534261635648044,0.0317778,0.06686091745801555,10000,6150.0,0.1033,690,694
157672044,2.4647358928500114,0.032674193,0.07840832903132175,10000,8425.0,0.124,710,714
157790241,1.6194700362151564,0.049728155,0.11516322873090966,24000,6075.0,0.1862,700,704
156264141,1.0328398054175967,0.07797265,0.12574180003837382,30000,23950.0,0.1797,695,699
157826455,1.0043096254843102,0.08018768,0.07669555974295497,40000,36925.0,0.124,700,704
157520180,0.6190313625479145,0.1300956,0.14802679354248405,25525,4750.0,0.20550000000000002,690,694
157362331,0.541452310164146,0.14873564,0.10671015417998168,21275,9450.0,0.1524,695,699
157451638,0.5288006957198486,0.15229416,0.10722464784492926,20000,9075.0,0.1524,685,689
156275009,0.5015244244186617,0.16057694,0.10614685437831463,30000,23225.0,0.1524,695,699
157199170,0.38147706214888977,0.21110904,0.09495005362490863,35000,25900.0,0.14300000000000002,690,694
157658568,0.36908872976120566,0.21819484,0.11706443931668006,15000,8800.0,0.17739999999999997,690,694
157891418,0.3349642484384573,0.24042344,0.10331934360346595,11700,11300.0,0.1524,685,689
157838667,0.32759107851095376,0.24583471,0.07731413795310757,14500,5750.0,0.124,680,684
157539155,0.32534356628003974,0.24753296,0.11196502339299683,21275,11850.0,0.1612,690,694
157504044,0.25439939778474496,0.3165623,0.11304493417729491,30000,13450.0,0.1612,675,679
157850534,0.2432009604773115,0.33113873,0.07428306113748571,10000,8400.0,0.16949999999999998,680,684
157416597,0.2349527270475714,0.34276366,0.06673346310910022,31900,22175.0,0.1033,680,684
157662458,0.2261997030064735,0.35602725,0.11173284311867702,30000,6575.0,0.1612,680,684
