id,shrop_ratio,prob_default,return_preds,loan_amnt,funded_amnt,int_rate,fico_range_low,fico_range_high
157836545,14.587267226592816,0.0056169033,0.17947553598040794,20500,16650.0,0.2565,785,789
156369436,13.539039065173547,0.006051779,0.09399022406689983,40000,33550.0,0.14300000000000002,760,764
157022911,13.432669973080838,0.006099701,0.07509339806125387,6000,5025.0,0.11710000000000001,745,749
156951202,12.069306335298874,0.0067887306,0.12419792700446251,30000,15000.0,0.1862,735,739
157771576,11.955936146371421,0.0068531036,0.10639102922406687,26575,19850.0,0.1524,730,734
157808999,10.509041743996457,0.007796645,0.06857165363395586,20000,12950.0,0.1308,720,724
157584769,8.92325782440475,0.009182215,0.15080160495257885,30000,26600.0,0.20550000000000002,725,729
157309640,8.761118107143908,0.009352148,0.09636616100480133,40000,17875.0,0.14300000000000002,730,734
157842929,8.00320044227012,0.010237813,0.07311615869061688,12000,5700.0,0.11019999999999999,715,719
157893699,7.780954753352054,0.010530233,0.07204392437688116,25000,20375.0,0.11019999999999999,715,719
157849526,6.733805136475282,0.012167752,0.07789498347785426,7000,5150.0,0.14300000000000002,715,719
156746122,5.8954656017721,0.013898015,0.12260590567605398,37225,8325.0,0.1862,715,719
157762796,5.097208288028302,0.016074538,0.09462222263781454,30500,8900.0,0.14300000000000002,705,709
157306370,3.6991026068985207,0.02215004,0.06094490463643239,40000,25925.0,0.1033,710,714
157865095,2.982317813398073,0.027473688,0.11329515778340082,24000,18550.0,0.1612,700,704
157419727,2.8521277467678634,0.02872777,0.06653436918385336,20000,15400.0,0.1033,700,704
157881625,2.578380874109199,0.0317778,0.06686091745801555,10000,6150.0,0.1033,690,694
157672044,2.507644750037762,0.032674193,0.07840832903132175,10000,8425.0,0.124,710,714
157790241,1.6476635674999407,0.049728155,0.11516322873090966,24000,6075.0,0.1862,700,704
156264141,1.0508206267449651,0.07797265,0.12574180003837382,30000,23950.0,0.1797,695,699
157826455,1.0217937617835384,0.08018768,0.07669555974295497,40000,36925.0,0.124,700,704
157520180,0.6298081473577438,0.1300956,0.14802679354248405,25525,4750.0,0.20550000000000002,690,694
157362331,0.5508785127516964,0.14873564,0.10671015417998168,21275,9450.0,0.1524,695,699
157451638,0.538006644965465,0.15229416,0.10722464784492926,20000,9075.0,0.1524,685,689
156275009,0.5102555180688887,0.16057694,0.10614685437831463,30000,23225.0,0.1524,695,699
157199170,0.38811823811733076,0.21110904,0.09495005362490863,35000,25900.0,0.14300000000000002,690,694
157658568,0.3755142358938806,0.21819484,0.11706443931668006,15000,8800.0,0.17739999999999997,690,694
157891418,0.340795677737208,0.24042344,0.10331934360346595,11700,11300.0,0.1524,685,689
157838667,0.33329414748665404,0.24583471,0.07731413795310757,14500,5750.0,0.124,680,684
157539155,0.3310075080690813,0.24753296,0.11196502339299683,21275,11850.0,0.1612,690,694
157504044,0.25882826477202003,0.3165623,0.11304493417729491,30000,13450.0,0.1612,675,679
157850534,0.24743487264263403,0.33113873,0.07428306113748571,10000,8400.0,0.16949999999999998,680,684
157416597,0.2390430448134637,0.34276366,0.06673346310910022,31900,22175.0,0.1033,680,684
157662458,0.23013763841787904,0.35602725,0.11173284311867702,30000,6575.0,0.1612,680,684
157559559,0.19115479106822586,0.4286331,0.15159855853317322,30000,23600.0,0.20550000000000002,690,694
157833733,0.19049559140084998,0.43011636,0.0780029415962618,14000,10400.0,0.124,685,689
157288919,0.17658604402161926,0.4639963,0.10777098863580896,15300,14550.0,0.17739999999999997,680,684
157728075,0.16888703439698985,0.48514837,0.11323700733895185,28000,12475.0,0.1612,680,684
